Accession ID	Collection date	Submission date	Location
EPI_ISL_10967882	2021-12-20	2022-03-12	Europe / France / Ile-de-France / Lisses
EPI_ISL_10967888	2021-12-20	2022-03-12	Europe / France / Ile-de-France / Lisses
EPI_ISL_10967896	2021-12-20	2022-03-12	Europe / France / Ile-de-France / Neuilly-Sur-Seine
EPI_ISL_10967898	2021-12-20	2022-03-12	Europe / France / Ile-de-France / Neuilly-Sur-Seine
EPI_ISL_10967905	2021-12-20	2022-03-12	Europe / France / Ile-de-France / Neuilly-Sur-Seine
EPI_ISL_10967910	2021-12-20	2022-03-12	Europe / France / Ile-de-France / Neuilly-Sur-Seine
EPI_ISL_11020529	2021-12-20	2022-03-15	Europe / France / Hauts-de-France / Henin Beaumont
EPI_ISL_11020540	2021-12-20	2022-03-15	Europe / France / Hauts-de-France / Henin Beaumont
EPI_ISL_11020587	2021-12-27	2022-03-15	Europe / France / Ile-de-France / Colombes
EPI_ISL_11020589	2021-12-27	2022-03-15	Europe / France / Ile-de-France / Colombes
EPI_ISL_11020687	2021-12-27	2022-03-15	Europe / France / Occitanie / Toulouse
EPI_ISL_11079839	2022-01-05	2022-03-16	Europe / France / Auvergne-Rhone-Alpes / Ain
EPI_ISL_11080394	2022-01-07	2022-03-16	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11080528	2022-01-06	2022-03-16	Europe / France / Auvergne-Rhone-Alpes / Rhone
EPI_ISL_11124090	2021-12-17	2022-03-17	Europe / France / Centre-Val de Loire / Loiret
EPI_ISL_11124107	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124128	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124133	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124145	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11160359	2021-12-17	2022-03-18	Europe / France / Ile-de-France / Val-d’Oise
EPI_ISL_11222908	2021-12-18	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225788	2021-12-25	2022-03-21	Europe / France / Ile-de-France / Paris
