Accession ID	Collection date	Submission date	Location
EPI_ISL_11225860	2021-12-27	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225834	2022-01-01	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225830	2021-12-31	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225815	2021-12-25	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225811	2021-12-28	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225807	2021-12-28	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225804	2021-12-27	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225798	2021-12-27	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225796	2021-12-28	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225790	2021-12-25	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11225788	2021-12-25	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222926	2021-12-22	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222908	2021-12-18	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222802	2021-12-21	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_11222798	2021-12-19	2022-03-21	Europe / France / Ile-de-France / Paris
EPI_ISL_9669764	2021-12-30	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9669260	2022-01-03	2022-02-08	Europe / France / Occitanie / Gers
EPI_ISL_9669204	2021-12-26	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9669193	2021-12-25	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9669183	2021-12-24	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9668698	2021-12-31	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9668697	2021-12-31	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9668694	2021-12-27	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9668693	2021-12-31	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9668511	2021-12-30	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_11162529	2021-12-15	2022-03-18	Europe / France / Ile-de-France / Val-d’Oise
EPI_ISL_11160377	2021-12-20	2022-03-18	Europe / France / Ile-de-France / Val-d’Oise
EPI_ISL_11160359	2021-12-17	2022-03-18	Europe / France / Ile-de-France / Val-d’Oise
EPI_ISL_11160248	2021-12-27	2022-03-18	Europe / France / Ile-de-France / Val-d’Oise
EPI_ISL_9662851	2021-12-22	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662847	2021-12-17	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662729	2021-12-21	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662724	2021-12-22	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662722	2021-12-27	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662721	2021-12-27	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662699	2021-12-21	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662677	2021-12-19	2022-02-08	Europe / France / Occitanie / Haute-Garonne
EPI_ISL_9662674	2021-12-30	2022-02-08	Europe / France / Occitanie / Gers
EPI_ISL_9662673	2021-12-24	2022-02-08	Europe / France / Occitanie / Aveyron
EPI_ISL_11124149	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124145	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124133	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124128	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124107	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
EPI_ISL_11124090	2021-12-17	2022-03-17	Europe / France / Centre-Val de Loire / Loiret
EPI_ISL_11122489	2021-12-20	2022-03-17	Europe / France / Centre-Val de Loire / Indre-et-Loire
